Randomizer Version: 4.6.1
Random Seed: 4635469872613
Settings String: 322QQgEAgj8AP8AAgEBAAIeIQAEFAAAFAACAQABAAAAAAAAAAAAMgQyAQAICTIGBAAyAAEAC0VtZXJhbGQgKFMpUTTsZePDOIo=

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1    |ABILITY2    |ITEM
  1|BULBASAUR    |GRASS/POISON     |  45|  49|  49|  65|  65|  45|MUDAR       |INTIMIDACIÓN|
  2|IVYSAUR      |GRASS/POISON     |  60|  62|  63|  80|  80|  60|FOCO INTERNO|FLEXIBILIDAD|
  3|VENUSAUR     |GRASS/POISON     |  80|  82|  83| 100| 100|  80|ABSOR. FUEGO|(?)         |
  4|CHARMANDER   |FIRE             |  39|  52|  43|  60|  50|  65|TORRENTE    |(?)         |
  5|CHARMELEON   |FIRE             |  58|  64|  58|  80|  65|  80|LODO LÍQUIDO|FLEXIBILIDAD|
  6|CHARIZARD    |FIRE/FLYING      |  78|  84|  78| 109|  85| 100|LEVITACIÓN  |MENOS       |
  7|SQUIRTLE     |WATER            |  44|  48|  65|  50|  64|  43|SOMBRATRAMPA|MADRUGAR    |
  8|WARTORTLE    |WATER            |  59|  63|  80|  65|  80|  58|VENTOSAS    |(?)         |
  9|BLASTOISE    |WATER            |  79|  83| 100|  85| 105|  78|INSOMNIO    |LODO LÍQUIDO|
 10|CATERPIE     |BUG              |  45|  30|  35|  20|  20|  45|ABSOR. ELEC.|CURA NATURAL|
 11|METAPOD      |BUG              |  50|  20|  55|  25|  25|  30|OJOCOMPUESTO|DICHA       |
 12|BUTTERFREE   |BUG/FLYING       |  60|  45|  50|  80|  80|  70|SEQUÍA      |LLOVIZNA    |POLVO PLATA (rare)
 13|WEEDLE       |BUG/POISON       |  40|  35|  30|  20|  20|  50|ELEC. ESTÁT.|ENJAMBRE    |
 14|KAKUNA       |BUG/POISON       |  45|  25|  50|  25|  25|  35|BUCLE AIRE  |(?)         |
 15|BEEDRILL     |BUG/POISON       |  65|  80|  40|  45|  80|  75|SEQUÍA      |(?)         |FLECHA VEN. (rare)
 16|PIDGEY       |NORMAL/FLYING    |  40|  45|  40|  35|  35|  56|CUERPO LLAMA|(?)         |
 17|PIDGEOTTO    |NORMAL/FLYING    |  63|  60|  55|  50|  50|  71|CUERPO LLAMA|AUSENTE     |
 18|PIDGEOT      |NORMAL/FLYING    |  83|  80|  75|  70|  70|  91|MAR LLAMAS  |PARARRAYOS  |
 19|RATTATA      |NORMAL           |  30|  56|  35|  25|  35|  72|MENOS       |(?)         |
 20|RATICATE     |NORMAL           |  55|  81|  60|  50|  70|  97|IMPULSO     |GRAN ENCANTO|
 21|SPEAROW      |NORMAL/FLYING    |  40|  60|  30|  31|  31|  70|PRESIÓN     |(?)         |
 22|FEAROW       |NORMAL/FLYING    |  65|  90|  65|  61|  61| 100|ELEC. ESTÁT.|(?)         |PICO AFILADO (rare)
 23|EKANS        |POISON           |  35|  60|  44|  40|  54|  55|GRAN ENCANTO|(?)         |
 24|ARBOK        |POISON           |  60|  85|  69|  65|  79|  80|SINCRONÍA   |ENTUSIASMO  |
 25|PIKACHU      |ELECTRIC         |  35|  55|  30|  50|  40|  90|POTENCIA    |(?)         |BAYA ARANJA (common), BOLALUMINOSA (rare)
 26|RAICHU       |ELECTRIC         |  60|  90|  55|  90|  80| 100|NADO RÁPIDO |BUCLE AIRE  |BAYA ARANJA (rare)
 27|SANDSHREW    |GROUND           |  50|  75|  85|  20|  30|  40|HEDOR       |VISTA LINCE |GARRA RÁPIDA (rare)
 28|SANDSLASH    |GROUND           |  75| 100| 110|  45|  55|  65|LLOVIZNA    |CUERPO LLAMA|GARRA RÁPIDA (rare)
 29|NIDORAN♀     |POISON           |  55|  47|  52|  40|  40|  41|LODO LÍQUIDO|(?)         |
 30|NIDORINA     |POISON           |  70|  62|  67|  55|  55|  56|EFEC. ESPORA|(?)         |
